date_time,timestamp,session_duration_secs,level,training_mode,round_length,wpm,overall_accuracy,total_keystrokes,correct_keystrokes,error_count,left_pinky,left_pinky_count,left_pinky_errors,left_ring,left_ring_count,left_ring_errors,left_middle,left_middle_count,left_middle_errors,left_index,left_index_count,left_index_errors,left_thumb,left_thumb_count,left_thumb_errors,right_thumb,right_thumb_count,right_thumb_errors,right_index,right_index_count,right_index_errors,right_middle,right_middle_count,right_middle_errors,right_ring,right_ring_count,right_ring_errors,right_pinky,right_pinky_count,right_pinky_errors,top_mistakes
2026-07-20 14:50:54,1784548254,42.5,Beginner,Random,Short,21.21,88.40,86,76,10,80.00,10,2,83.33,12,2,66.67,9,3,66.67,12,4,100.00,0,0,93.33,15,1,90.00,10,1,80.00,10,2,100.00,6,0,50.00,2,1,"a->s:2;e->r:3;t->y:2;p->o:1"
2026-07-20 14:53:13,1784548393,38.1,Beginner,Targeted,Short,29.24,91.80,122,112,10,88.24,17,2,87.50,16,2,81.48,27,5,75.00,16,4,100.00,0,0,93.33,15,1,91.67,12,1,85.71,7,1,90.91,11,1,87.50,8,1,"e->w:2;c->v:1;d->f:2"
2026-07-20 14:55:02,1784548502,45.0,Intermediate,Random,Medium,20.73,93.50,154,144,10,86.21,29,4,100.00,14,0,88.89,18,2,91.67,24,2,100.00,0,0,100.00,20,0,94.12,17,1,90.00,10,1,85.71,14,2,100.00,8,0,"z->a:2;q->w:1;i->o:1"
2026-07-20 14:55:34,1784548534,18.2,Advanced,Targeted,Short,61.73,68.50,108,74,34,75.76,33,8,53.33,15,7,36.36,11,7,60.00,15,6,100.00,0,0,50.00,8,4,62.96,27,10,69.23,13,4,17.07,41,34,100.00,2,0,"l->k:8;o->p:6;s->a:5;e->r:4;r->t:3;u->i:2"
2026-07-20 23:04:28,1784577868,36.4,Beginner,Random,Medium,26.32,84.10,132,111,21,71.43,14,4,71.43,14,4,100.00,18,0,100.00,20,0,100.00,0,0,93.33,15,1,75.00,16,4,75.00,12,3,88.89,18,2,33.33,6,4,"p->o:3;n->m:2;y->h:2;a->s:2"
2026-07-20 23:10:03,1784578203,34.9,Intermediate,Targeted,Medium,27.45,90.50,148,134,14,88.24,17,2,83.33,12,2,100.00,22,0,100.00,18,0,100.00,0,0,93.33,15,1,80.00,15,3,88.24,17,2,88.24,17,2,77.78,18,4,"p->l:2;x->c:2;w->e:1"
2026-07-20 23:12:34,1784578354,35.9,Intermediate,Random,Medium,26.69,89.60,154,138,16,80.00,15,3,76.47,17,4,96.77,31,1,95.24,21,1,100.00,0,0,93.33,15,1,78.57,14,3,90.91,11,1,92.31,13,1,81.82,11,2,"w->q:3;s->a:2;j->h:2"
2026-07-20 23:17:15,1784578635,42.3,Advanced,Targeted,Long,28.35,74.20,240,178,62,74.07,27,7,40.62,32,19,68.18,22,7,65.57,61,21,100.00,0,0,70.00,20,6,70.21,47,14,66.67,21,7,77.42,31,7,75.00,16,4,"r->t:8;f->g:7;w->s:6;x->z:5;e->d:4"
2026-07-20 23:30:33,1784579433,39.5,Advanced,Targeted,Long,34.93,72.80,265,193,72,61.76,34,13,51.02,49,24,63.46,52,19,67.11,76,25,100.00,0,0,68.00,25,8,62.69,67,25,64.10,39,14,78.38,37,8,64.71,34,12,"r->f:10;e->d:9;w->s:8;t->g:7;u->j:6"
2026-07-20 23:37:11,1784579831,48.3,Advanced,Random,Long,26.49,76.40,250,191,59,68.29,41,13,56.90,58,25,71.64,67,19,70.00,40,12,100.00,0,0,72.22,18,5,70.24,84,25,70.21,47,14,81.82,22,4,68.42,19,6,"h->j:7;n->b:6;e->r:5;w->e:4"
2026-07-20 23:41:27,1784580087,50.1,Advanced,Targeted,Long,25.35,78.10,256,200,56,70.21,47,14,62.86,35,13,75.00,40,10,72.28,92,26,100.00,0,0,76.19,21,5,74.51,51,13,73.58,53,14,82.00,50,9,70.00,20,6,"r->t:7;t->y:6;f->g:5;d->s:4"
2026-07-23 02:21:42,1784762502,32.1,Beginner,Random,Short,28.03,92.50,120,111,9,100.00,8,0,85.71,14,2,87.50,16,2,87.50,16,2,100.00,0,0,100.00,18,0,81.25,16,3,66.67,12,4,100.00,10,0,100.00,10,0,"k->l:3;i->o:1"
2026-07-23 02:26:07,1784762767,31.5,Beginner,Targeted,Short,26.51,98.20,110,108,2,100.00,10,0,100.00,12,0,100.00,15,0,88.89,18,2,100.00,0,0,100.00,14,0,100.00,15,0,100.00,12,0,100.00,14,0,100.00,10,0,"f->g:2"
2026-07-23 02:27:28,1784762848,29.0,Beginner,Random,Short,28.99,96.80,125,121,4,94.12,17,1,100.00,12,0,100.00,16,0,85.71,14,2,100.00,0,0,96.67,30,1,100.00,12,0,100.00,10,0,100.00,8,0,100.00,6,0,"a->s:1;f->v:2"
2026-07-23 02:30:42,1784763042,26.2,Intermediate,Targeted,Medium,33.93,97.50,140,136,4,95.24,21,1,100.00,15,0,100.00,18,0,90.00,20,2,100.00,0,0,97.30,37,1,100.00,12,0,100.00,10,0,100.00,10,0,100.00,7,0,"t->r:2;a->z:1"
2026-07-23 02:36:38,1784763398,31.1,Intermediate,Targeted,Medium,27.01,92.00,135,124,11,66.67,12,4,75.00,16,4,87.50,16,2,90.00,20,2,100.00,0,0,100.00,20,0,100.00,21,0,100.00,12,0,100.00,10,0,100.00,8,0,"z->a:3;s->d:3;w->e:2"
2026-07-23 02:41:01,1784763661,21.3,Advanced,Random,Short,45.08,58.20,160,93,67,30.00,20,14,50.00,20,10,47.06,34,18,81.82,22,4,100.00,0,0,64.29,14,5,50.00,18,9,45.45,22,12,85.71,14,2,0.00,6,6,"p->o:4;l->k:6;k->j:5;s->a:5;e->r:4"
2026-07-23 02:45:05,1784763905,29.0,Intermediate,Targeted,Medium,28.94,96.50,140,135,5,100.00,12,0,80.00,15,3,87.50,16,2,100.00,22,0,100.00,0,0,100.00,25,0,100.00,20,0,100.00,14,0,100.00,10,0,100.00,6,0,"w->s:3;e->d:2"
2026-07-23 11:23:54,1784795034,16.5,Advanced,Random,Short,57.67,32.40,158,51,107,0.00,16,16,23.53,17,13,26.32,19,14,9.38,32,29,100.00,0,0,22.22,9,7,34.62,26,17,27.27,11,8,25.00,16,12,33.33,12,8,"q->w:8;a->s:7;z->x:6;e->r:6;c->v:5;t->y:5"
